,basename,spearmans_r
0,Fat2_Abi_01,0.6315381460407848
1,Fat2_Abi_02,0.7300849356741709
2,Fat2_Abi_03,0.5916676406566119
3,Fat2_Abi_04,0.6621263712821263
4,Fat2_Abi_05,0.7066252757620887
5,Fat2_Abi_06,0.7046394662396964
6,Fat2_Abi_07,0.6547375067715694
7,Fat2_Abi_08,0.707882825721149
8,Fat2_Abi_09,0.6785985579209903
9,Fat2_Abi_10,0.6749214109251213
10,Fat2_Abi_11,0.6422030833288551
11,Fat2_Abi_12,0.6353439886099723
12,Fat2_Abi_13,0.6629672083066728
13,Fat2_Abi_14,0.6875529287562591
14,Fat2_Abi_15,0.6530285076320179
