,condition,sample_num,basename,mig_speed_um_per_min,prot_x_prot_dot,prot_x_prot_dot_abs,prot_x_mig_dot,prot_x_mig_dot_abs
22,TJ_larRNAi_sema5cK175,01,TJ_larRNAi_sema5cK175_01,0.0007786117009258,-0.006197231787929147,0.6801338376156939,-0.07215346987832212,0.5335582169935238
47,TJ_larRNAi_sema5cK175,02,TJ_larRNAi_sema5cK175_02,0.012445923181006,0.061734944432349115,0.656733109953373,0.18395969220707015,0.6353885045956902
15,TJ_larRNAi_sema5cK175,03,TJ_larRNAi_sema5cK175_03,0.0223741898269174,-0.008916561452875987,0.6911595391553625,0.006644295042690963,0.47913015736603204
1,TJ_larRNAi_sema5cK175,04,TJ_larRNAi_sema5cK175_04,0.0176806127349345,-0.011255639361438375,0.6532816877815909,-0.0024253655290081342,0.706741042908057
28,TJ_larRNAi_sema5cK175,05,TJ_larRNAi_sema5cK175_05,0.0341067739528742,0.016435646550225034,0.671165796616384,0.15550988462219634,0.6945580997520918
41,TJ_larRNAi_sema5cK175,06,TJ_larRNAi_sema5cK175_06,0.0161408389327239,-0.0011437854984489466,0.6521923931443129,-0.05083968475580283,0.6417046082313657
35,ck666,01,ck666_01,0.0311674102583535,0.006606143698102698,0.7004658671945238,-0.08576048718804588,0.4684794152807548
6,ck666,02,ck666_02,0.0352510860974448,-0.04288242393225094,0.7100299108681727,0.07924309005109254,0.8167668507994594
20,ck666,03,ck666_03,0.0189401680973479,-0.05238985244828494,0.6595761204667271,0.013747234906227503,0.73557197177705
2,ck666,04,ck666_04,0.0494194348554701,-0.03399152350690771,0.8000583747224264,0.02668931825883466,0.7061125264780768
38,ck666,05,ck666_05,0.0318818964160176,0.0284230577558795,0.7151016124515206,-0.2169509534588332,0.5546618760053263
31,ck666,06,ck666_06,0.0248207204710603,-0.013433735157161486,0.6686391605309105,0.04317872086542809,0.6012474923542594
19,fat2N1032,01,fat2N1032_01,0.0247730345320973,0.007362304620720758,0.682317044308977,0.01976111579835768,0.5168692763850565
4,fat2N1032,02,fat2N1032_02,0.0057039269126586,-0.00175320750473086,0.6645297347237301,-0.04829893064875689,0.6157990476017717
8,fat2N1032,03,fat2N1032_03,0.0077008752792866,0.009124227728108296,0.6929805403257048,0.14825968495825126,0.7526661753743145
13,fat2N1032,04,fat2N1032_04,0.0190311453157222,0.013435627891530232,0.6658707324355118,0.12293197828037117,0.755046167531689
44,fat2N1032,05,fat2N1032_05,0.0050572035948965,0.00606072251414875,0.7210898025898775,-0.11951218409829523,0.6702759770022261
23,fat2N1032,06,fat2N1032_06,0.0346826296790061,0.02995178302903923,0.6382224941036931,-0.0988291378481876,0.6712344531411232
24,fat2N1032,07,fat2N1032_07,0.021824036333959,0.024630057188239376,0.6766614911987665,-0.1329336986169361,0.7511222810678755
42,fat2N1032,08,fat2N1032_08,0.0226936434508037,-0.012434114437831736,0.6245889830750089,-0.026804174885746837,0.6448545142855192
46,fat2N1032,09,fat2N1032_09,0.066708358683048,-0.009272499481616535,0.6489527112464376,0.016006570438396112,0.5414075456438174
40,fat2N1032,10,fat2N1032_10,0.0309325591246674,-0.031478847281568266,0.6541664743022227,0.006028387279437337,0.5299341119244114
32,fat2dICD,01,fat2dICD_01,0.0673747928754492,0.14717805104580087,0.6679394920134701,0.37809422114313157,0.729620254767352
27,fat2dICD,02,fat2dICD_02,0.0752495469004729,0.11472119332099534,0.676375581473534,0.3221452211302243,0.7425358437248294
34,fat2dICD,03,fat2dICD_03,0.0959081722911883,-0.0034797623647175834,0.6696871334284357,-0.0725869437148377,0.7535732639013569
18,fat2dICD,04,fat2dICD_04,0.0779248497155159,0.030252317009755447,0.7065732695375117,0.17704215046185018,0.7959468678876136
29,fat2dICD,05,fat2dICD_05,0.0278259255030563,0.04170606005705766,0.6788174090526342,-0.1430939257610731,0.7184920660186622
48,lar132bola1,01,lar132bola1_01,0.2436615366164595,0.005376119498783342,0.6767369159906146,0.10861302215792319,0.7612486397240192
36,lar132bola1,02,lar132bola1_02,0.064444405875102,0.02806853041617484,0.667968596599071,0.1371305522230003,0.7502741166903975
11,lar132bola1,03,lar132bola1_03,0.1742148653172333,-0.002683988481455054,0.6345192401230811,0.009382893723338838,0.6447103671146563
12,lar132bola1,04,lar132bola1_04,0.3262270945698016,0.03727301661924804,0.682177394015869,0.2104715146756988,0.6954499135217881
14,lar132bola1,05,lar132bola1_05,0.2096004824575856,0.05435806873333817,0.682438356295522,0.23103338393190648,0.7650204492231943
43,lar132bola1,06,lar132bola1_06,0.2237593573948452,0.019865510910812026,0.6670904764087642,0.15529561990584217,0.7480161699161622
25,sema5cK175,01,sema5cK175_01,0.160513793903798,0.2055430947955462,0.6278590725316607,0.45690906753876837,0.6607067296541154
39,sema5cK175,02,sema5cK175_02,0.0264404885241882,0.03901395345563733,0.703409480826719,0.16635122969221708,0.800186434805971
10,sema5cK175,03,sema5cK175_03,0.2794696225536072,0.36395743350833837,0.7417138034722492,0.6086639615450014,0.8302680541421554
5,sema5cK175,04,sema5cK175_04,0.3087148142344986,0.0947722868719272,0.6258424369460602,0.291482678413018,0.6422720193349167
0,sema5cK175,05,sema5cK175_05,0.2753428366919414,0.32283823564045006,0.7485356726351641,0.5620893600501065,0.8456390210670008
30,sema5cK175,06,sema5cK175_06,0.0283488302567858,0.08652623351226646,0.7426235053900108,0.26494987051502256,0.8337723380906401
3,sema5cK175,07,sema5cK175_07,0.0583181483265749,0.03549389575744948,0.6639955894719242,-0.05013947359838739,0.5320199732148383
37,sema5cK175,08,sema5cK175_08,0.0934412736874472,0.0312954533146339,0.7271101934925451,0.1765526335350605,0.8014568165097271
45,sema5cK175,09,sema5cK175_09,0.0454531833504254,0.0263083882249196,0.6731932612445032,0.07077539624531386,0.6813621175064706
17,w1118,01,w1118_01,0.3856877086350315,0.032105850722627276,0.6778205825403977,0.14953470799894628,0.7446822803582225
26,w1118,02,w1118_02,0.7538007495221487,0.09085676461681434,0.7128820267214581,0.284492346138323,0.8105180665192481
21,w1118,03,w1118_03,0.7911698560527081,0.04658945935912315,0.6943553851192372,0.21972830530889692,0.7785411197848754
33,w1118,04,w1118_04,0.4655798829155861,0.14799453352759032,0.7057480934985613,0.38166896961846797,0.8024277079368819
9,w1118,05,w1118_05,0.3768292070130885,0.20937275940649186,0.7317879699438969,0.46026764147086136,0.8209526617171363
7,w1118,06,w1118_06,0.4128480462762515,0.0676389062271836,0.6253032433109206,0.2563286850984425,0.6257588774242815
16,w1118,07,w1118_07,0.5491599548983211,0.16793514303461085,0.6939059666504007,0.41269490078977494,0.7835414528847982
